0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
NUM,time,years,year,back,one,old,day,ago,two,first,said,days,man,long,family,like,home,history,would
new,york,state,city,police,california,gov,public,george,black,times,america,news,washington,mayor,cities,many,june,citizens,order
NUM,covid,coronavirus,pandemic,may,many,virus,people,health,could,country,world,public,americans,one,economic,economy,states,news,spread
NUM,regarding,editorial,care,health,school,schools,one,system,medical,children,public,well,education,use,drug,based,high,never,data
court,supreme,law,federal,justice,NUM,state,department,last,political,general,legal,judge,case,week,states,even,barrett,trump,rights
america,policy,make,would,people,one,social,even,american,many,political,also,americans,isn,point,media,often,bad,world,way
china,president,NUM,world,war,american,trump,security,chinese,trade,new,one,beijing,deal,national,foreign,military,last,years,hong
NUM,students,week,best,future,regarding,next,night,view,words,ask,june,published,university,review,dec,note,fewer,opinions,oct
trump,president,biden,joe,election,democrats,democratic,NUM,senate,house,donald,presidential,party,campaign,sanders,voters,obama,republicans,vote,political
NUM,tax,federal,economy,would,money,market,economic,companies,time,congress,government,business,financial,businesses,income,billion,spending,long,new
