0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
NUM,health,care,covid,regarding,editorial,vaccine,system,medical,drug,use,much,aug,review,government,effective,patients,nov,feb,however
like,would,know,time,people,even,get,back,way,think,life,make,going,right,something,say,good,one,might,look
NUM,years,ago,would,two,washington,writing,john,NUMth,story,century,never,first,israel,book,NUMs,half,regarding,church,day
coronavirus,pandemic,covid,people,many,health,virus,states,spread,world,country,even,americans,united,public,crisis,disease,work,lockdown,could
economic,market,policy,crisis,america,one,new,business,political,world,federal,financial,companies,economy,change,long,big,public,time,good
china,world,war,united,american,chinese,foreign,security,government,states,hong,military,country,kong,beijing,america,one,minister,union,last
biden,joe,election,democratic,president,NUM,presidential,trump,party,democrats,voters,sanders,republican,senate,vote,bernie,campaign,tuesday,debate,republicans
NUM,new,york,city,state,year,million,last,two,gov,week,country,percent,people,times,day,first,almost,least,mayor
trump,president,donald,house,administration,white,media,national,one,obama,washington,office,said,four,last,campaign,would,way,years,may
part,article,sign,receive,newsletter,news,media,david,week,thursdays,tuesdays,debatable,last,twitter,wrote,social,facebook,series,question,times
police,black,american,people,america,country,george,women,white,americans,left,one,floyd,also,men,protests,nation,many,history,death
NUM,tax,would,government,economy,americans,congress,billion,many,money,income,years,business,workers,economic,relief,jobs,states,businesses,new
one,family,old,home,time,years,year,two,day,first,ago,every,mother,around,friend,friends,father,morning,days,man
court,supreme,justice,law,federal,NUM,state,department,general,case,legal,judge,week,congress,monday,senate,public,political,decision,barrett
NUM,school,students,week,schools,next,future,best,university,education,words,college,children,view,ask,night,published,public,note,parents
