0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
people,day,every,around,world,women,past,yet,week,men,ever,many,time,still,sometimes,family,talk,man,since,put
trump,president,donald,house,administration,white,national,state,security,senate,republican,office,policy,department,friday,obama,washington,campaign,american,secretary
NUM,coronavirus,health,care,covid,pandemic,one,even,work,workers,face,medical,food,masks,country,hospitals,vaccine,without,home,mask
like,war,right,make,many,america,would,may,also,best,could,point,politics,least,thought,finally,good,seems,something,live
court,justice,supreme,law,last,state,week,chief,federal,rights,power,women,monday,right,NUMth,executive,general,decision,president,conservative
american,political,college,government,university,one,students,NUMs,leaders,well,history,national,life,since,group,nation,whether,fall,society,military
states,united,coronavirus,NUM,world,covid,china,virus,country,control,cases,spread,people,countries,pandemic,disease,far,much,month,around
trump,president,election,biden,joe,donald,NUM,presidential,democracy,democrats,win,voters,vote,victory,running,debate,voting,november,america,tuesday
part,article,sign,newsletter,receive,thursdays,tuesdays,debatable,david,weekday,leonhardt,opinion,times,series,free,today,writers,wrote,special,essay
year,home,family,NUM,day,first,mother,last,school,old,high,children,friends,morning,night,said,friend,started,time,room
NUM,years,year,two,ago,percent,million,three,weeks,since,nearly,first,four,made,time,took,old,died,months,five
NUM,one,congress,federal,economic,company,americans,big,companies,business,billion,government,money,small,relief,tax,act,years,better,large
black,police,george,people,white,one,protests,floyd,killing,country,americans,racial,nation,violence,officers,african,movement,death,racism,america
know,get,like,would,even,people,time,take,going,make,back,say,still,things,think,might,next,long,hard,tell
pandemic,crisis,coronavirus,economic,america,health,economy,americans,public,american,need,listen,unemployment,response,mobile,social,face,device,subscribe,help
one,world,NUM,change,like,red,middle,years,ago,even,around,whose,nashville,near,call,oil,water,climate,every,land
democratic,party,political,presidential,sanders,bernie,two,years,four,american,left,convention,new,long,national,primary,race,senator,tuesday,republican
news,one,week,first,last,media,would,asked,said,month,two,days,twitter,bret,gail,happened,good,day,bad,thing
new,york,city,coronavirus,people,many,weeks,country,schools,home,could,march,millions,closed,pandemic,public,state,open,months,across
life,like,way,much,see,back,become,never,end,long,man,washington,air,another,coming,felt,hope,seemed,season,beginning
