0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
trump,president,election,biden,donald,joe,presidential,democratic,party,republican,campaign,NUM,democrats,voters,sanders,debate,bernie,win,republicans,presidency
NUM,years,ago,year,old,time,two,family,last,mother,took,four,home,months,first,summer,man,school,every,died
like,people,get,know,back,even,going,time,would,might,things,think,news,many,make,much,better,finally,want,never
like,one,every,world,listen,mobile,day,device,facebook,around,subscribe,nashville,fire,new,always,long,west,big,red,podcast
would,one,two,last,days,day,weeks,week,march,three,said,first,home,early,could,came,didn,life,morning,still
states,united,coronavirus,pandemic,crisis,world,america,public,state,health,global,administration,yet,economic,countries,economy,nation,response,china,much
part,article,sign,newsletter,receive,thursdays,tuesdays,debatable,david,weekday,leonhardt,free,today,every,may,wrote,film,canceled,science,published
coronavirus,pandemic,people,health,covid,care,country,virus,spread,disease,many,new,home,face,across,work,months,schools,lives,americans
new,city,york,NUM,times,first,like,big,week,special,opinion,thought,series,found,mexico,writers,means,answer,went,friday
NUM,war,country,years,american,world,china,government,may,since,military,death,democracy,decades,kong,hong,chinese,NUMs,minister,europe
trump,president,court,week,last,justice,supreme,law,state,department,chief,administration,donald,federal,general,case,month,would,executive,congress
american,one,political,life,media,many,like,america,women,right,history,time,past,way,social,could,even,person,long,good
black,police,people,country,george,white,NUMth,american,protests,america,nation,floyd,death,century,also,killing,americans,violence,one,men
NUM,million,percent,covid,americans,economic,year,years,many,nearly,people,three,federal,unemployment,week,two,business,could,weeks,least
house,NUM,first,white,year,one,school,washington,national,college,university,students,news,asked,wasn,class,never,online,fall,american
