0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
NUM,students,next,university,future,week,best,ask,college,night,words,view,note,published,fewer,responses,education,opinions,editor,submit
people,like,even,political,way,want,time,make,know,get,think,might,need,seem,media,often,american,right,good,doesn
country,oil,climate,energy,california,change,policies,gas,move,bret,gail,including,new,natural,industry,power,plan,recent,good,put
coronavirus,world,china,pandemic,crisis,global,chinese,hong,kong,beijing,america,economic,covid,virus,democracy,health,leadership,americans,may,war
democratic,party,sanders,presidential,bernie,political,tuesday,campaign,primary,nomination,democrats,bloomberg,candidate,debate,win,left,clinton,would,voters,iowa
part,article,sign,receive,newsletter,david,thursdays,tuesdays,debatable,free,weekday,every,leonhardt,wall,street,wrote,today,news,journal,opinion
one,first,years,like,question,could,time,won,way,right,past,america,since,term,whether,recent,fear,questions,long,important
life,one,even,take,right,time,know,never,much,many,always,way,personal,human,might,doesn,great,hope,without,moment
would,back,could,two,said,know,three,didn,time,well,never,years,long,ago,first,months,weeks,happened,ever,wasn
president,trump,house,senate,democrats,white,republican,last,week,republicans,donald,congress,democratic,impeachment,tuesday,pelosi,congressional,two,washington,would
one,year,like,mask,season,live,gave,summer,national,make,get,face,sports,team,give,time,around,christmas,wearing,much
american,america,history,women,country,black,americans,men,politics,white,nation,political,race,one,many,century,NUMth,NUMs,long,world
NUM,federal,government,economic,congress,relief,money,billion,businesses,economy,financial,small,coronavirus,business,spending,many,crisis,reserve,pandemic,bank
news,times,one,good,first,series,like,week,days,found,last,question,bad,show,big,part,angeles,los,asked,short
NUM,years,year,ago,two,time,first,last,old,family,day,since,weeks,home,died,week,father,five,nearly,days
NUM,tax,economic,economy,income,market,high,year,million,rate,may,americans,american,even,labor,percent,jobs,stock,workers,growth
business,new,company,social,media,last,companies,twitter,week,facebook,big,tech,corporate,commission,internet,executive,amazon,google,technology,world
trump,president,biden,joe,donald,administration,election,obama,presidency,vice,presidential,campaign,debate,victory,policy,much,harris,america,elect,made
NUM,regarding,editorial,oct,june,aug,dec,nov,review,feb,writing,july,would,sept,isn,letter,sen,april,john,letters
NUM,coronavirus,covid,pandemic,people,many,states,country,virus,spread,cases,americans,united,health,lockdown,disease,social,millions,lives,across
every,like,one,day,world,around,people,old,small,park,long,nashville,across,used,store,eyes,hand,paper,away,side
school,children,schools,home,work,high,parents,families,family,year,pandemic,back,closed,education,learning,online,public,teachers,open,day
police,george,black,people,floyd,protests,violence,killing,racism,death,cities,june,officers,officer,country,america,protesters,american,minneapolis,across
trump,president,department,security,national,general,former,administration,secretary,federal,state,justice,attorney,report,law,case,government,act,last,barr
policy,would,one,far,even,change,yet,state,support,made,israel,social,problem,may,years,past,foreign,making,major,government
new,york,city,state,gov,mayor,washington,california,cuomo,andrew,san,times,governor,last,seattle,residents,may,week,like,chicago
court,supreme,justice,law,judge,federal,barrett,amy,monday,coney,legal,constitutional,religious,constitution,case,week,decision,rights,amendment,democrats
NUM,united,war,american,world,states,china,military,minister,country,trade,european,prime,europe,union,iran,india,deal,listen,south
NUM,health,covid,care,medical,vaccine,patients,drug,coronavirus,public,could,use,system,effective,doctors,news,administration,hospital,hospitals,research
NUM,election,state,vote,states,voters,voting,votes,presidential,day,electoral,results,won,nov,mail,elections,democrats,ballot,ballots,many
