0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
NUM,students,week,school,next,best,university,education,view,ask,future,college,words,high,year,published,fewer,night,opinions,note
NUM,years,two,country,ago,last,minister,prime,india,since,week,israel,first,world,million,three,weeks,johnson,war,day
part,care,health,article,sign,receive,newsletter,covid,medical,patients,drug,vaccine,thursdays,david,tuesdays,debatable,use,system,doctors,weekday
trump,president,house,last,week,news,white,washington,NUM,said,another,may,friday,year,one,month,media,first,good,announced
china,president,war,security,chinese,trump,united,american,foreign,military,world,national,states,deal,beijing,trade,policy,russia,government,administration
NUM,regarding,editorial,review,oct,today,aug,writing,wrote,june,times,feb,dec,journal,question,series,nov,years,isn,sept
like,one,might,time,much,good,people,make,way,know,many,media,think,right,want,bad,even,get,well,makes
NUM,election,democrats,senate,state,vote,party,voters,democratic,republican,republicans,states,voting,two,votes,political,majority,electoral,last,elections
NUM,economic,tax,federal,economy,would,billion,financial,americans,congress,income,money,businesses,relief,business,spending,million,government,small,states
court,supreme,justice,trump,law,federal,president,case,general,judge,legal,administration,barrett,department,decision,amy,chief,coney,monday,congress
change,policy,would,take,government,public,many,much,long,make,political,may,america,without,crisis,support,one,better,need,right
trump,biden,president,joe,donald,democratic,presidential,sanders,campaign,election,bernie,party,obama,debate,would,tuesday,presidency,win,vice,four
many,home,pandemic,schools,coronavirus,children,work,even,face,get,months,people,millions,back,day,americans,school,country,workers,closed
NUM,time,year,old,years,family,one,first,two,every,ago,long,day,home,mother,friend,father,away,days,took
police,black,people,george,america,white,floyd,protests,country,one,violence,killing,racial,death,cities,june,americans,lives,across,streets
new,york,city,NUM,state,gov,public,mayor,washington,week,california,andrew,first,last,cuomo,residents,home,san,governor,bill
american,america,history,women,hong,kong,political,NUMth,century,people,world,democracy,rights,speech,one,nation,americans,country,human,men
coronavirus,NUM,covid,pandemic,virus,people,health,world,states,crisis,spread,united,many,cases,country,may,economy,disease,economic,could
companies,business,company,new,social,facebook,california,must,power,market,world,oil,tech,commission,public,industry,government,energy,may,climate
would,like,know,time,said,never,one,way,life,asked,back,thought,take,man,didn,story,wasn,heard,told,knew
