0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
NUM,first,day,march,time,two,early,see,friends,ago,nearly,spring,london,around,members,couldn,began,behind,night,days
care,series,medical,hospitals,hospital,health,doctors,question,food,use,special,patients,big,times,help,without,drug,matter,ideas,found
one,washington,face,used,mask,woman,course,air,make,store,take,park,masks,hand,hair,street,outside,get,daily,sitting
coronavirus,pandemic,one,could,change,also,way,crisis,make,like,become,climate,era,good,fact,ways,times,take,stories,another
people,know,get,think,listen,back,mobile,device,subscribe,bret,gail,tell,right,little,podcast,going,often,book,argument,really
trump,president,election,donald,biden,joe,vote,american,presidential,democracy,presidency,republican,politics,campaign,electoral,office,americans,votes,still,voting
part,article,sign,newsletter,receive,thursdays,tuesdays,debatable,david,weekday,leonhardt,free,today,opinion,every,news,reflect,updated,published,developments
black,women,american,white,people,men,NUMth,americans,america,country,group,state,rights,african,history,century,south,brown,human,race
NUM,covid,million,percent,cases,people,nearly,end,far,year,day,number,weeks,two,rate,could,americans,death,deaths,three
trump,president,administration,donald,public,announced,law,made,department,national,would,general,security,declared,end,nation,policy,said,order,tuesday
coronavirus,pandemic,covid,people,spread,country,health,disease,virus,NUM,home,even,across,world,lives,many,new,lockdown,control,around
biden,democratic,joe,presidential,sanders,president,party,democrats,bernie,debate,win,voters,republican,election,campaign,would,race,left,primary,convention
court,justice,supreme,week,last,federal,conservative,would,state,constitutional,president,chief,case,abortion,constitution,decision,ruth,law,many,recent
new,york,city,state,business,year,times,mayor,mexico,stop,coronavirus,gov,andrew,bill,line,cuomo,places,businesses,small,fast
police,george,people,protests,floyd,country,killing,violence,one,officers,racism,angeles,los,thousands,may,minneapolis,officer,protesters,black,also
one,congress,well,federal,government,many,passed,need,act,money,may,long,billion,relief,economic,aid,past,clear,least,less
NUM,years,ago,one,first,two,times,since,thought,year,took,job,came,told,means,still,time,known,old,made
political,war,american,government,leaders,NUMs,years,right,country,current,minister,two,question,civil,decades,military,major,democracy,prime,left
NUM,one,long,first,day,said,went,washington,man,sunday,friday,found,church,days,night,evening,called,story,heart,held
states,united,world,china,country,many,countries,america,foreign,american,chinese,policy,europe,european,russia,germany,international,union,trade,global
house,white,last,NUM,national,wrote,month,secretary,john,former,friday,security,state,called,congressional,senate,prison,impeachment,instead,intelligence
like,nashville,every,across,see,fire,small,live,side,miles,less,light,west,around,dark,along,inside,river,outside,always
like,life,people,way,much,never,make,would,things,show,hope,media,social,person,sense,man,pandemic,century,often,child
company,facebook,kong,twitter,workers,hong,companies,tax,like,executive,big,work,media,paid,chief,amazon,large,employees,business,week
NUM,year,old,family,years,time,mother,would,ever,ago,died,could,father,four,past,half,every,house,five,two
news,one,two,first,week,get,last,weeks,come,even,take,days,back,every,said,would,know,long,could,time
coronavirus,pandemic,crisis,economic,economy,states,america,health,americans,need,united,public,unemployment,millions,state,response,global,several,also,benefits
last,NUM,week,day,made,would,month,started,around,always,phone,early,video,next,away,morning,play,husband,began,perhaps
time,world,even,hard,like,much,best,mind,america,next,season,national,want,know,days,good,speak,never,looking,says
school,home,schools,many,children,college,work,students,high,class,year,online,university,kids,fall,summer,months,safe,parents,pandemic
