0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
NUM,years,year,two,first,country,ago,million,percent,three,nearly,since,city,around,weeks,four,died,time,early,last
like,know,life,way,even,long,time,people,get,might,world,going,right,every,think,things,always,something,make,around
home,work,school,children,many,schools,live,place,college,family,open,online,listen,closed,back,students,workers,year,summer,parents
new,states,american,york,united,china,city,one,america,state,economic,government,congress,political,war,federal,military,foreign,recent,times
part,article,sign,newsletter,receive,thursdays,tuesdays,debatable,times,free,david,today,weekday,series,wrote,opinion,question,leonhardt,special,news
trump,president,election,donald,biden,joe,presidential,democratic,party,republican,one,campaign,democrats,political,would,voters,sanders,vote,debate,bernie
black,people,police,one,country,white,george,american,women,NUMth,state,men,protests,washington,america,like,floyd,man,used,killing
one,first,would,time,last,years,said,back,two,ago,week,day,old,year,new,mother,got,take,family,never
president,trump,court,last,week,NUM,justice,supreme,administration,law,national,would,department,chief,john,made,federal,security,news,general
coronavirus,pandemic,covid,NUM,health,people,americans,care,crisis,united,virus,spread,country,states,could,many,disease,even,world,cases
