WSJ,NYT
1.0,0.0
0.625,0.375
0.03225806451612903,0.967741935483871
0.6,0.4
0.22033898305084745,0.7796610169491526
0.40625,0.59375
0.0,1.0
0.875,0.125
0.7794117647058824,0.22058823529411764
0.6666666666666666,0.3333333333333333
0.0,0.0
0.5416666666666666,0.4583333333333333
0.13333333333333333,0.8666666666666667
0.06521739130434782,0.9347826086956522
0.5652173913043478,0.43478260869565216
0.75,0.25
0.5555555555555556,0.4444444444444444
0.3939393939393939,0.6060606060606061
0.7692307692307693,0.23076923076923078
0.23076923076923078,0.7692307692307693
