WSJ,NYT
0.8,0.2
0.18181818181818182,0.8181818181818182
0.9259259259259259,0.07407407407407407
0.35714285714285715,0.6428571428571429
0.8636363636363636,0.13636363636363635
0.631578947368421,0.3684210526315789
0.5277777777777778,0.4722222222222222
0.8333333333333334,0.16666666666666666
0.061224489795918366,0.9387755102040817
0.011049723756906077,0.988950276243094
0.5428571428571428,0.45714285714285713
0.6923076923076923,0.3076923076923077
0.1388888888888889,0.8611111111111112
0.7313432835820896,0.26865671641791045
0.8771929824561403,0.12280701754385964
